title,source,episodes,rating,rank,studio,year,start_season,days_aired,duration_minutes,Genre_Action,Genre_Adventure,Genre_Cars,Genre_Comedy,Genre_Dementia,Genre_Demons,Genre_Drama,Genre_Ecchi,Genre_Fantasy,Genre_Game,Genre_Harem,Genre_Hentai,Genre_Historical,Genre_Horror,Genre_Josei,Genre_Kids,Genre_Magic,Genre_Martial Arts,Genre_Mecha,Genre_Military,Genre_Music,Genre_Mystery,Genre_NA,Genre_Parody,Genre_Police,Genre_Psychological,Genre_Romance,Genre_Samurai,Genre_School,Genre_Sci-Fi,Genre_Seinen,Genre_Shoujo,Genre_Shoujo Ai,Genre_Shounen,Genre_Shounen Ai,Genre_Slice of Life,Genre_Space,Genre_Sports,Genre_Super Power,Genre_Supernatural,Genre_Thriller,Genre_Vampire,Genre_Yaoi,Genre_Yuri,Average Rank of Related,Related_Adaptation,Related_Sequel,Related_Side story,Related_Alternative version,Related_Prequel,Related_Summary,Related_Other,Related_Spin-off,Related_Alternative setting,Related_Character,Related_Parent story,Related_Full story,success
Ranma ½,Manga,161,R+ - Mild Nudity,802.0,Studio Deen,1989,Spring,1260,24.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1450.9166666666667,1,1,4,0,0,0,6,0,0,0,0,0,1
Toradora!,Light novel,25,PG-13 - Teens 13 or older,174.0,J.C.Staff,2008,Fall,176,24.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2223.0,1,0,2,0,0,1,0,0,0,0,0,0,1
Bakuman. 2nd Season,Manga,25,PG-13 - Teens 13 or older,108.0,J.C.Staff,2011,Fall,176,24.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1376.2,1,1,0,0,1,1,1,0,0,0,0,0,1
Gakuen Alice,Manga,26,G - All Ages,941.0,SmallStudio,2004,Fall,197,25.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,941.0,1,0,0,0,0,0,0,0,0,0,0,0,1
Skip Beat!,Manga,25,PG-13 - Teens 13 or older,282.0,SmallStudio,2008,Fall,176,24.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,282.0,1,0,0,0,0,0,0,0,0,0,0,0,1
Chihayafuru 2,Manga,25,PG-13 - Teens 13 or older,116.0,Madhouse,2013,Winter,169,22.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1239.6666666666667,1,1,0,0,1,0,0,0,0,0,0,0,1
Shounen Onmyouji,Light novel,26,PG-13 - Teens 13 or older,1158.0,Studio Deen,2006,Fall,162,23.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1158.0,1,0,0,0,0,0,0,0,0,0,0,0,4
Chihayafuru,Manga,25,PG-13 - Teens 13 or older,246.0,Madhouse,2011,Fall,176,22.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,181.0,1,1,0,0,0,0,0,0,0,0,0,0,1
Itazura na Kiss,Manga,25,PG-13 - Teens 13 or older,1108.0,TMS Entertainment,2008,Spring,174,24.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1108.0,1,0,0,0,0,0,0,0,0,0,0,0,1
Beelzebub,Manga,60,PG-13 - Teens 13 or older,528.0,SmallStudio,2011,Winter,442,24.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1505.0,1,0,0,1,0,0,1,0,0,0,0,0,1
Hanasakeru Seishounen,Manga,39,PG-13 - Teens 13 or older,753.0,Studio Pierrot,2009,Spring,316,24.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2281.5,1,0,0,0,0,1,0,0,0,0,0,0,4
SKET Dance,Manga,77,PG-13 - Teens 13 or older,213.0,Tatsunoko Production,2011,Spring,540,24.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1740.8,1,0,1,0,0,1,1,0,0,1,0,0,1
B-gata H-kei,4-koma manga,12,R+ - Mild Nudity,3193.0,SmallStudio,2010,Spring,78,24.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3193.0,1,0,0,0,0,0,0,0,0,0,0,0,4
Fruits Basket,Manga,26,PG-13 - Teens 13 or older,939.0,Studio Deen,2001,Summer,176,24.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,939.0,1,0,0,0,0,0,0,0,0,0,0,0,1
Saiunkoku Monogatari,Light novel,39,PG-13 - Teens 13 or older,512.0,Madhouse,2006,Spring,323,25.0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.6666666666666,1,1,0,0,0,1,0,0,0,0,0,0,4
Glass no Kamen (2005),Manga,51,G - All Ages,333.0,SmallStudio,2005,Spring,358,25.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3978.6666666666665,1,0,0,2,0,0,3,0,0,0,0,0,4
Air Gear,Manga,25,R+ - Mild Nudity,1233.0,Toei Animation,2006,Spring,176,24.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1422.0,1,1,1,0,0,0,0,0,0,0,0,0,1
Saiunkoku Monogatari 2nd Season,Light novel,39,PG-13 - Teens 13 or older,362.0,Madhouse,2007,Spring,337,25.0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512.0,1,0,0,0,1,0,0,0,0,0,0,0,4
InuYasha,Manga,167,PG-13 - Teens 13 or older,697.0,Sunrise,2000,Fall,1429,24.0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1592.875,1,1,5,0,0,0,1,0,0,0,0,0,1
Chu-Bra!!,Manga,12,PG-13 - Teens 13 or older,6380.0,Zexcs,2010,Winter,78,24.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6380.0,1,0,0,0,0,0,0,0,0,0,0,0,5
Nodame Cantabile Finale,Manga,11,PG-13 - Teens 13 or older,203.0,J.C.Staff,2010,Winter,71,22.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683.3333333333334,1,1,0,0,1,0,0,0,0,0,0,0,1
Ghost Hunt,Novel,25,PG-13 - Teens 13 or older,656.0,J.C.Staff,2006,Fall,176,25.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,328.0,2,0,0,0,0,0,0,0,0,0,0,0,1
Accel World,Light novel,24,PG-13 - Teens 13 or older,1545.0,Sunrise,2012,Spring,169,24.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3684.0,1,1,0,0,0,0,1,1,0,0,0,0,1
Bakuman.,Manga,25,PG-13 - Teens 13 or older,216.0,J.C.Staff,2010,Fall,183,24.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,912.6666666666666,1,1,0,0,0,1,0,0,0,0,0,0,1
Nodame Cantabile,Manga,23,PG-13 - Teens 13 or older,163.0,J.C.Staff,2007,Winter,155,22.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,445.2,1,1,1,0,0,0,2,0,0,0,0,0,1
Kamisama Hajimemashita,Manga,13,PG-13 - Teens 13 or older,383.0,TMS Entertainment,2012,Fall,85,24.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,374.0,1,2,0,0,0,0,0,0,0,0,0,0,1
Cardcaptor Sakura,Manga,70,PG - Children,297.0,Madhouse,1998,Spring,715,25.0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,666.4,1,2,2,0,0,0,0,0,0,0,0,0,1
Daa! Daa! Daa!,Manga,78,G - All Ages,919.0,J.C.Staff,2000,Spring,701,25.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,919.0,1,0,0,0,0,0,0,0,0,0,0,0,4
Kimi ni Todoke 2nd Season,Manga,12,PG-13 - Teens 13 or older,412.0,Production I.G,2011,Winter,78,23.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1350.75,1,0,1,0,2,0,0,0,0,0,0,0,1
Sekaiichi Hatsukoi,Manga,12,PG-13 - Teens 13 or older,469.0,Studio Deen,2011,Spring,78,23.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,321.2,1,1,1,0,0,0,1,1,0,0,0,0,1
Code-E,Original,12,G - All Ages,5635.0,Studio Deen,2007,Summer,78,24.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1805.3333333333333,2,1,0,0,0,0,0,0,0,0,0,0,5
Junjou Romantica,Manga,12,PG-13 - Teens 13 or older,568.0,Studio Deen,2008,Spring,78,24.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,520.1666666666666,2,1,1,0,0,0,1,1,0,0,0,0,1
Kiniro no Corda: Primo Passo,Visual novel,25,PG-13 - Teens 13 or older,1273.0,SmallStudio,2006,Fall,176,24.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2434.5,1,1,1,0,0,0,0,1,0,0,0,0,1
D.Gray-man Hallow,Manga,13,R - 17+ (violence & profanity),655.0,TMS Entertainment,2016,Summer,85,24.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,355.0,1,0,0,0,1,0,0,0,0,0,0,0,1
Sengoku☆Paradise Kiwami,Unknown,26,PG-13 - Teens 13 or older,6763.0,SmallStudio,2011,Fall,176,3.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5
Parasol Henbei,Unknown,200,PG - Children,6043.0,unknown,1989,Fall,484,10.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5
Juuni Kokuki,Novel,45,PG-13 - Teens 13 or older,399.0,Studio Pierrot,2002,Spring,509,25.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,399.0,1,0,0,0,0,0,0,0,0,0,0,0,1
Soul Buster,Manga,12,PG-13 - Teens 13 or older,7553.0,Studio Pierrot,2016,Fall,69,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5
Live On Cardliver Kakeru,Manga,51,PG - Children,4074.0,TMS Entertainment,2008,Fall,358,23.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3
Triage X,Manga,10,R+ - Mild Nudity,5978.0,Xebec,2015,Spring,64,23.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5640.5,1,1,0,0,0,0,0,0,0,0,0,0,5
Nanatsu no Bitoku,Other,10,R+ - Mild Nudity,8835.0,SmallStudio,2018,Winter,64,5.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7702.5,0,0,1,0,0,0,1,0,0,0,0,0,5
Chikyuu Shoujo Arjuna,Original,13,PG-13 - Teens 13 or older,3731.0,Satelight,2001,Winter,78,26.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4
K-On!!,4-koma manga,26,PG-13 - Teens 13 or older,383.0,Kyoto Animation,2010,Spring,176,24.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1560.0,1,0,3,0,1,0,0,0,0,0,0,0,1
Soredemo Machi wa Mawatteiru,Manga,12,PG-13 - Teens 13 or older,1744.0,Shaft,2010,Fall,78,24.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1744.0,1,0,0,0,0,0,0,0,0,0,0,0,4
Scan2Go,Unknown,52,G - All Ages,6660.0,SmallStudio,2010,Summer,233,25.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5
Bernard-jou Iwaku.,Manga,12,PG-13 - Teens 13 or older,7274.0,SmallStudio,2016,Fall,78,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3637.0,1,1,0,0,0,0,0,0,0,0,0,0,5
Dae Jang Geum: Jang Geum&#039;s Dream,Other,26,PG - Children,2710.0,unknown,2005,Fall,183,24.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3033.0,0,1,0,0,0,0,0,0,0,0,0,0,4
Space☆Dandy,Original,13,PG-13 - Teens 13 or older,748.0,Bones,2014,Winter,82,24.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2004.75,1,1,0,0,0,0,2,0,0,0,0,0,1
Aoki Hagane no Arpeggio: Ars Nova,Manga,12,PG-13 - Teens 13 or older,1623.0,SmallStudio,2013,Fall,78,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1998.3333333333333,1,0,0,1,0,0,1,0,0,0,0,0,1
ClassicaLoid 2nd Season,Original,25,PG-13 - Teens 13 or older,5712.0,Sunrise,2017,Fall,169,24.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5671.0,0,0,0,0,1,0,0,0,0,0,0,0,5
Ichigo Ichie: Koibana Tomobana,Unknown,13,G - All Ages,10544.0,unknown,2007,Fall,99,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,5
Re:Creators,Original,22,R - 17+ (violence & profanity),1138.0,SmallStudio,2017,Spring,162,24.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138.0,1,0,0,0,0,0,0,0,0,0,0,0,1
Rekka no Honoo,Manga,42,PG-13 - Teens 13 or older,1948.0,Studio Pierrot,1997,Summer,357,23.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2461.5,1,1,0,0,0,0,0,0,0,0,0,0,4
Hibike! Euphonium,Novel,13,PG-13 - Teens 13 or older,530.0,Kyoto Animation,2015,Spring,85,23.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1481.6666666666667,2,1,2,0,0,1,0,0,0,0,0,0,1
Gintama.: Shirogane no Tamashii-hen,Manga,12,PG-13 - Teens 13 or older,25.0,SmallStudio,2018,Winter,78,24.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28.666666666666668,1,1,0,0,1,0,0,0,0,0,0,0,4
Gun-dou Musashi,Original,26,PG-13 - Teens 13 or older,7203.0,SmallStudio,2006,Spring,183,24.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,5
