title,Average Rank of Related,Related_Adaptation,Related_Sequel,Related_Side story,Related_Alternative version,Related_Prequel,Related_Summary,Related_Other,Related_Spin-off,Related_Alternative setting,Related_Character,Related_Parent story,Related_Full story
Air Gear,1422.0,1,1,1,0,0,0,0,0,0,0,0,0
Saiunkoku Monogatari 2nd Season,512.0,1,0,0,0,1,0,0,0,0,0,0,0
InuYasha,1592.875,1,1,5,0,0,0,1,0,0,0,0,0
Chu-Bra!!,6380.0,1,0,0,0,0,0,0,0,0,0,0,0
Nodame Cantabile Finale,683.3333333333334,1,1,0,0,1,0,0,0,0,0,0,0
Ghost Hunt,328.0,2,0,0,0,0,0,0,0,0,0,0,0
Accel World,3684.0,1,1,0,0,0,0,1,1,0,0,0,0
Bakuman.,912.6666666666666,1,1,0,0,0,1,0,0,0,0,0,0
Nodame Cantabile,445.2,1,1,1,0,0,0,2,0,0,0,0,0
Kamisama Hajimemashita,374.0,1,2,0,0,0,0,0,0,0,0,0,0
Cardcaptor Sakura,666.4,1,2,2,0,0,0,0,0,0,0,0,0
Daa! Daa! Daa!,919.0,1,0,0,0,0,0,0,0,0,0,0,0
Kimi ni Todoke 2nd Season,1350.75,1,0,1,0,2,0,0,0,0,0,0,0
Sekaiichi Hatsukoi,321.2,1,1,1,0,0,0,1,1,0,0,0,0
Code-E,1805.3333333333333,2,1,0,0,0,0,0,0,0,0,0,0
Junjou Romantica,316.8333333333333,2,1,1,0,0,0,1,1,0,0,0,0
Kiniro no Corda: Primo Passo,2434.5,1,1,1,0,0,0,0,1,0,0,0,0
D.Gray-man Hallow,355.0,1,0,0,0,1,0,0,0,0,0,0,0
Sengoku☆Paradise Kiwami,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Boku wa Kuma,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Ane Koi: Suki Kirai Daisuki.,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Parasol Henbei,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,958.6666666666666,0,2,0,0,1,0,0,0,0,0,0,0
Juuni Kokuki,399.0,1,0,0,0,0,0,0,0,0,0,0,0
Diabolik Lovers OVA,7969.0,0,0,0,0,0,0,0,0,0,0,1,0
Tuzki: Love Assassin,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Ao no 6-gou,3026.0,1,0,0,0,0,0,0,0,0,0,0,0
Ben-To Picture Drama,1922.0,0,0,0,0,0,0,1,0,0,0,0,0
Seikai no Monshou Special,909.0,0,0,0,0,0,0,0,0,0,0,0,1
Tegamibachi Gakuen,1072.0,0,0,0,0,0,0,0,0,0,0,1,0
Soul Buster,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Death Billiards,3599.5,0,0,0,1,0,0,3,0,0,0,0,0
Live On Cardliver Kakeru,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Triage X,5640.5,1,1,0,0,0,0,0,0,0,0,0,0
Nanatsu no Bitoku,7702.5,0,0,1,0,0,0,1,0,0,0,0,0
Hai to Gensou no Grimgar Special,830.0,1,0,0,0,0,0,0,0,0,0,1,0
Duel Masters Movie 1: Yami no Shiro no Maryuuou,7537.0,0,0,0,0,0,0,0,0,0,0,1,0
Bounty Dog: Getsumen no Ibu,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Hurricane Live! 2033,3202.0,0,0,0,0,1,0,0,0,0,0,0,1
Densetsu no Yuusha no Densetsu: Iris Report,964.0,0,0,0,0,0,0,0,0,0,0,0,1
Aisai Nikki,12919.0,1,0,0,0,0,0,0,0,0,0,0,0
Chikyuu Shoujo Arjuna,0.0,0,0,0,0,0,0,0,0,0,0,0,0
K-On!!,1560.0,1,0,3,0,1,0,0,0,0,0,0,0
Haru wo Daite Ita,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken,2745.0,0,0,0,0,1,0,0,0,0,0,1,0
Soredemo Machi wa Mawatteiru,1744.0,1,0,0,0,0,0,0,0,0,0,0,0
Code Geass: Hangyaku no Lelouch Picture Drama - Hajimari no Zenya,1696.0,0,0,1,0,0,0,0,0,0,0,1,0
Scan2Go,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,2323.0,0,0,0,0,0,0,2,0,0,0,0,0
Shokuzai no Kyoushitsu,12919.0,1,0,0,0,0,0,0,0,1,0,0,0
Majokko Shimai no Yoyo to Nene,0.0,1,0,0,0,0,0,1,0,0,0,0,0
Bernard-jou Iwaku.,3637.0,1,1,0,0,0,0,0,0,0,0,0,0
Dae Jang Geum: Jang Geum&#039;s Dream,3033.0,0,1,0,0,0,0,0,0,0,0,0,0
Space☆Dandy,2004.75,1,1,0,0,0,0,2,0,0,0,0,0
Nanatsu no Taizai OVA,251.0,0,0,0,0,0,0,0,0,0,0,1,0
Aoki Hagane no Arpeggio: Ars Nova,1998.3333333333333,1,0,0,1,0,0,1,0,0,0,0,0
ClassicaLoid 2nd Season,5671.0,0,0,0,0,1,0,0,0,0,0,0,0
Juvenile Pornography The Animation,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Ichigo Ichie: Koibana Tomobana,0.0,0,1,0,0,0,0,0,0,0,0,0,0
Doraemon: Time Machine de Oshougatsu,1034.0,0,0,0,0,0,0,0,0,0,0,1,0
Chirin no Suzu,0.0,0,0,0,0,0,0,0,0,0,0,0,0
MD Geist II: Death Force,8551.0,0,0,0,0,1,0,0,0,0,0,0,0
Re:Creators,1138.0,1,0,0,0,0,0,0,0,0,0,0,0
Hajimari no Boukensha-tachi: Legend of Crystania,4362.5,0,1,0,0,0,0,0,0,0,1,0,0
Rekka no Honoo,2461.5,1,1,0,0,0,0,0,0,0,0,0,0
Hibike! Euphonium,1481.6666666666667,2,1,2,0,0,1,0,0,0,0,0,0
Gintama.: Shirogane no Tamashii-hen,28.666666666666668,1,1,0,0,1,0,0,0,0,0,0,0
Gun-dou Musashi,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Galactic Patrol Lensman,6599.0,0,0,0,1,0,0,0,0,0,0,0,0
Denki-gai no Honya-san,2517.0,1,0,0,0,0,0,0,0,0,0,0,0
Uchi no 3 Shimai,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Kuroko no Basket: Oshaberi Demo Shimasen ka,1716.3333333333333,0,1,0,0,1,0,1,0,0,0,0,0
Cross Road,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Hourou Musuko Specials,898.0,1,0,0,0,0,0,1,0,0,0,0,0
Esper Mami: Hoshizora no Dancing Doll,4959.0,0,0,0,0,0,0,0,0,0,0,1,0
Gakkatsu! 2nd Season,5370.0,0,0,0,0,1,0,0,0,0,0,0,0
Selector Infected WIXOSS,3990.75,0,1,1,0,0,1,0,0,1,0,0,0
Gokujo.: Gokurakuin Joshikou Ryou Monogatari,6731.5,1,0,1,0,0,0,0,0,0,0,0,0
Bannou Bunka Neko-Musume Specials,5049.0,0,0,0,0,0,0,0,0,0,0,1,0
Saint☆Oniisan (Movie),1359.0,1,0,0,0,0,0,1,0,0,0,0,0
Makai Tenshi Djibril,12919.0,1,1,0,0,0,0,0,0,0,0,0,0
Supernatural The Animation,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Soukan Yuugi,12919.0,0,1,0,0,0,0,0,0,0,0,0,0
Andromeda Stories,7401.0,1,0,0,0,0,0,0,0,0,0,0,0
Houkago Initiation,12919.0,1,0,0,0,0,0,0,0,0,0,0,0
ACCA: 13-ku Kansatsu-ka,2522.5,1,0,1,0,0,0,0,0,0,0,0,0
Gokuu no Daibouken,0.0,0,0,0,1,1,0,0,0,0,0,0,0
Alice to Zouroku,2797.0,1,0,0,0,0,0,0,0,0,0,0,0
Micchiri Neko,3274.5,1,0,0,0,0,0,1,0,0,0,0,0
Slayers,1217.1666666666667,2,1,0,0,3,0,0,0,0,0,0,0
Seikaisuru Kado,2654.6666666666665,1,0,0,0,1,1,0,0,0,0,0,0
Dragon Ball Super,1107.857142857143,1,1,0,2,0,0,0,0,0,1,2,0
Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi The Animation,7162.0,0,0,0,0,1,0,0,0,0,0,0,0
Yama no Susume,4431.5,1,1,0,0,0,0,0,0,0,0,0,0
Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,6459.5,2,0,0,0,0,0,0,0,0,0,0,0
Princess Principal,3740.6666666666665,0,1,1,0,0,1,0,0,0,0,0,0
Nyanpire The Animation,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Kira Kira 5th Anniversary Live Anime: Kick Start Generation,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Tenpou Ibun: Ayakashi Ayashi,1898.0,1,1,0,0,0,0,0,0,0,0,0,0
Persona 4 the Animation,2684.222222222222,1,1,0,1,0,1,2,0,3,0,0,0
Fate/stay night Movie: Unlimited Blade Works,485.0,0,0,0,3,1,0,0,0,0,0,0,0
Boku dake no Hentai Kanojo The Animation,6459.5,1,1,0,0,0,0,0,0,0,0,0,0
Luv Wave,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Lupin III: Seven Days Rhapsody,1043.0,0,0,0,0,0,0,0,0,0,0,1,0
Ski Jumping Pairs: Road to Torino 2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Fairy Tail,1839.888888888889,1,1,3,0,0,0,2,1,0,1,0,0
Marvel Future Avengers,3219.5,1,1,0,0,0,0,0,0,2,0,0,0
Super Seisyun Brothers,3827.0,1,0,0,0,0,0,0,0,0,0,0,0
Baku Ane: Otouto Shibocchau zo! The Animation,0.0,1,1,0,0,0,0,0,0,0,0,0,0
Sei Shoujo The Animation,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Ryoujoku Guerrilla Kari 3,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Momo Kyun Sword,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Bust to Bust: Chichi wa Chichi ni,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Onara Gorou,9444.5,0,0,0,0,1,0,1,0,0,0,0,0
A-Size Classmate,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Taikong Lixianji,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Kono Minikuku mo Utsukushii Sekai,4042.0,1,0,0,0,0,0,0,0,0,0,0,0
Go! Go! 575,8075.0,0,1,0,0,0,0,0,0,0,0,0,0
Mezzo Forte,8728.0,0,1,0,0,0,0,0,0,0,1,0,0
Master Keaton,926.5,1,1,0,0,0,0,0,0,0,0,0,0
Choujin Densetsu Urotsukidouji: Mirai-hen,8612.666666666666,1,1,0,0,1,0,0,0,0,0,0,0
Shoujo kara Shoujo e...,12919.0,1,0,0,0,0,0,0,0,0,0,0,0
Angel&#039;s Feather,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"Busou Shoujo Machiavellianism: Doki! ""Goken-darake"" no Ian Ryokou",3029.0,0,0,0,0,1,0,0,0,0,0,0,0
Shugo Chara! Party!,1508.0,0,0,0,0,1,0,0,0,0,0,0,0
Working&#039;!!,1609.25,1,1,0,0,1,0,1,0,0,0,0,0
Haikara-san ga Tooru,1664.3333333333333,1,0,0,1,0,0,1,0,0,0,0,0
Henbou Moral Hazard,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Samayou Midara na Lunatics,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Nintama Rantarou Movie,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,372.5,1,0,0,0,0,0,0,0,0,0,1,0
Meshimase Lodoss-tou Senki: Sorette Oishii no?,1576.0,0,0,0,1,0,0,0,0,0,0,0,0
Dragon Ball Specials,369.0,0,0,0,0,0,0,0,0,0,0,1,0
Petit Eva: Evangelion@School,2591.0,2,0,0,0,0,0,0,1,0,0,0,0
City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo,659.5,0,2,0,0,0,0,0,0,0,0,0,0
Binan Koukou Chikyuu Boueibu LOVE!,1380.5,1,1,0,0,0,0,0,0,0,0,0,0
Ghiblies,0.0,0,0,0,0,0,0,0,0,0,0,0,0
WWW.Working!!,1711.3333333333333,1,0,0,0,0,0,1,0,1,0,0,0
Shin Mitsubachi Maya no Bouken,5887.0,0,0,0,0,1,0,0,0,0,0,0,0
R.O.D the TV,500.0,1,0,0,0,1,0,0,0,0,0,0,0
Kuroko no Basket: Baka ja Katenai no yo!,183.0,1,0,0,0,0,0,0,0,0,0,1,0
Hacka Doll The Animation,3997.0,1,0,0,0,0,0,1,0,0,0,0,0
Anime Koukyoushi: Jungle Taitei,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Akai Koudan Zillion: Utahime Yakyoku,4562.0,0,0,0,0,0,0,0,0,0,0,1,0
Sore Ike! Anpanman: Kirakira Boshi no Namida,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Apache Yakyuugun,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Kiss x Sis (TV),2849.0,1,0,0,0,0,0,0,0,0,0,1,0
Kanojo x Kanojo x Kanojo: Sanshimai to no DokiDoki Kyoudou Seikatsu,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Kanzen Mushusei: Sorezore no Houkago,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Yakin Byoutou Ni,9689.25,1,1,0,0,1,0,1,0,0,0,0,0
Tennis no Ouji-sama,1542.3333333333333,1,1,7,1,0,0,2,0,0,0,0,0
Gunnm,1359.5,1,0,0,0,0,0,1,0,0,0,0,0
Kami nomi zo Shiru Sekai: Natsu-iro Surprise,2028.0,0,0,0,0,0,0,1,0,0,0,0,0
T7S Longing for Summer Again and Again: Harukaze,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Detective Conan Movie 21: The Crimson Love Letter,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Kakko Kawaii Sengen!,5164.333333333333,1,1,0,0,0,0,1,0,0,0,0,0
Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?,1916.0,0,0,0,0,1,0,0,0,0,0,0,0
To Heart 2 AD Plus,2558.6666666666665,1,1,0,0,1,0,0,0,0,0,0,0
Ojamajo Doremi Dokkaan!,2352.0,0,0,0,0,1,0,0,0,0,0,0,0
Danna ga Nani wo Itteiru ka Wakaranai Ken,1632.0,1,1,0,0,0,0,0,0,0,0,0,0
Igano Kabamaru,465.0,1,0,0,0,0,0,0,0,0,0,0,0
Mobile Suit Gundam Unicorn RE:0096,1365.75,1,1,0,1,1,0,0,0,0,0,0,0
Hataraku Maou-sama!,578.0,1,0,0,0,0,0,0,0,0,0,0,0
D.C.II S.S.: Da Capo II Second Season,2727.6666666666665,1,1,0,0,1,0,0,0,0,0,0,0
Bakuretsu Tenshi: Infinity,3940.5,0,1,0,0,0,1,0,0,0,0,0,0
Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa,573.3333333333334,1,1,0,0,0,0,0,0,0,0,1,0
Dominion,2318.0,1,1,0,0,0,0,0,1,0,0,0,0
Darker than Black: Kuro no Keiyakusha,683.3333333333334,1,1,1,0,0,0,0,0,0,0,0,0
Teekyuu,4120.0,1,1,0,0,0,0,1,1,0,0,0,0
Aoi Bungaku Series,818.3333333333334,0,0,0,5,0,1,0,0,0,0,0,0
Natsuyuki Rendezvous,2281.0,1,0,0,0,0,0,0,0,0,0,0,0
Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,1659.5,0,0,0,1,1,0,0,0,0,0,0,0
Juuza Engi: Engetsu Sangokuden - Gaiden Youzhou Genya,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Mai-Otome Special: Otome no Inori,2153.0,0,0,0,0,0,0,0,0,0,0,1,0
Bakuretsu Hunters OVA,4230.0,0,0,0,0,1,0,0,0,0,0,0,0
Ontama!,3924.0,1,0,0,0,0,0,0,0,0,0,0,0
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),4300.0,1,0,0,0,0,0,1,0,0,0,0,0
BOY&#039;s LOVE Nitro+CHiRAL,6237.0,0,0,0,0,0,0,2,0,0,0,0,0
Aachi wa Ssipak,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Ao no Exorcist Movie Special,4390.5,0,0,0,0,0,0,2,0,0,0,0,0
Kore ga UFO da! Soratobu Enban,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Notari Matsutarou,7218.0,1,0,0,1,0,0,0,0,0,0,0,0
Buta,2455.0,0,0,0,0,0,0,3,0,0,0,0,0
Soukou Kijo Iris,12919.0,0,0,1,0,0,0,0,0,0,0,0,0
Alice Tantei Kyoku,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Arakawa Under the Bridge x Bridge,1164.0,1,0,0,0,1,0,0,0,0,0,0,0
Weiß Kreuz Glühen,3979.0,0,0,0,0,2,0,0,0,0,0,0,0
Kino no Tabi: Nanika wo Suru Tame ni - Life Goes On.,140.0,1,1,0,0,0,0,0,0,0,0,0,0
Reideen,5257.0,1,0,0,1,0,0,0,1,0,0,0,0
Kindaichi Shounen no Jikenbo: Kuromajutsu Satsujin Jiken-hen,211.5,1,0,0,0,0,0,0,0,0,0,1,0
School Days,7312.75,1,0,1,1,0,0,0,1,0,0,0,0
Gaist Crusher,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Initial D Fourth Stage,715.0,1,1,1,0,1,1,0,0,0,0,0,0
Ningyohime Marina no Bouken,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Aru Zombie Shoujo no Sainan,0.0,1,0,0,0,0,0,1,0,0,0,0,0
Hetalia Axis Powers,1410.25,1,1,2,0,0,0,0,0,0,0,0,0
Mugen Kouro,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Wind: A Breath of Heart (TV),0.0,1,0,1,1,0,0,1,0,0,0,0,0
Yousei Dick,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Kachikachi Yama (1940),0.0,0,0,0,0,0,0,0,0,0,0,0,0
Brave Witches: Petersburg Daisenryaku,3940.0,0,0,0,0,0,0,0,0,0,0,1,0
Ginga Tetsudou 999: Glass no Clair,595.0,0,0,0,1,0,0,0,0,0,0,0,0
Toaru Majutsu no Index-tan II,2117.5,0,0,0,0,1,0,0,1,0,0,0,0
Takarajima,0.0,0,0,1,1,0,0,0,0,0,0,0,0
Gundam Build Fighters: GM no Gyakushuu,2114.3333333333335,0,1,1,0,1,0,0,0,0,0,0,0
Urusei Yatsura Movie 2: Beautiful Dreamer,1010.0,0,0,0,0,0,0,0,0,0,0,1,0
Show By Rock!!: Plasmagica na Gogo,5141.0,0,0,0,0,0,0,2,0,0,0,0,0
Kuragehime: Eiyuu Retsuden☆,152.0,1,0,0,0,0,0,0,0,0,0,1,0
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu OVA,3216.0,1,0,0,0,0,0,0,0,0,0,1,0
Tamayura: Sotsugyou Shashin Part 3 - Akogare,611.5,0,1,0,0,1,0,0,0,0,0,0,0
Saimin Jutsu Zero Special,12919.0,0,0,0,0,0,0,0,0,0,0,1,0
Saint Seiya: Tenkai-hen Josou - Overture,3368.0,0,1,0,0,1,0,0,0,0,0,0,0
One Piece Movie 1,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Ergo Proxy,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Doraemon Movie 13: Nobita to Kumo no Oukoku,517.0,1,0,0,0,0,0,0,0,0,0,1,0
Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes,2912.0,0,1,0,0,1,0,0,0,0,0,0,0
Windaria,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Kizuna Ichigeki,2809.0,0,0,0,0,0,0,3,0,0,0,0,0
xxxHOLiC Shunmuki,313.0,1,1,1,0,1,0,0,0,0,0,0,0
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,66.0,1,0,0,0,1,0,0,0,0,0,0,0
Choujuushin Gravion Zwei,5222.5,1,0,0,0,1,0,0,0,0,0,0,0
Inmu Gakuen: Inmu ni Torawareta Bijin Shimai,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Inyouchuu The Animation,4306.333333333333,2,1,0,0,0,0,0,0,0,0,0,0
Berserk: Ougon Jidai-hen I - Haou no Tamago,1781.0,1,1,0,1,0,0,0,0,0,0,0,0
Dragon Ball Z Movie 14: Kami to Kami,1053.0,0,1,0,1,0,0,0,0,0,0,1,0
Shadow Skill: Eigi,4692.333333333333,1,0,0,1,1,0,0,0,0,0,0,0
Kiki to Lala no Papa to Mama ni Aitai,0.0,0,0,0,0,0,0,5,0,0,0,0,0
Wanwan Sanjuushi,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Guin Saga,2612.0,1,0,0,0,0,0,0,0,0,0,0,0
Kuroshitsuji II,861.0,0,0,1,0,1,0,0,0,0,0,0,0
E&#039;s Otherwise,0.0,1,0,0,0,0,0,0,0,0,0,0,0
Watashi ga Toriko ni Natte Yaru,12919.0,1,0,0,0,0,0,0,0,0,0,0,0
Code Geass: Hangyaku no Lelouch I - Koudou,15.0,0,1,0,1,0,0,0,0,0,0,0,0
Area 88,1461.0,1,0,0,2,0,0,0,0,0,0,0,0
Egomama,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Sakura Internet,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Highschool of the Dead: Drifters of the Dead,2184.0,0,0,0,0,0,0,0,0,0,0,1,0
Juuou Mujin no Fafnir,5879.0,1,0,0,0,0,0,0,0,0,0,0,0
Ristorante Paradiso,910.5,2,0,0,0,0,0,0,0,0,0,0,0
Dragon Quest: Dai no Daibouken (1991),1924.6666666666667,0,2,0,1,0,0,0,0,0,0,0,0
Smile Precure!,2468.1,1,0,1,0,0,0,0,4,14,0,0,0
Katsugeki/Touken Ranbu,2764.6666666666665,1,0,0,0,0,0,1,0,1,0,0,0
Hunter x Hunter (2011),743.0,1,0,2,4,0,0,0,0,0,0,0,0
Lovedol: Lovely Idol OVA,6581.0,0,0,0,0,1,0,0,0,0,0,0,0
Non Non Biyori Repeat,464.5,1,1,1,0,1,0,0,0,0,0,0,0
Yagami-kun no Katei no Jijou,6199.0,1,0,0,0,0,0,0,0,0,0,0,0
Natsume Yuujinchou Go,108.75,1,1,1,0,1,0,0,0,0,0,0,0
Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,3.0,0,0,0,0,0,0,0,0,0,0,1,0
Furyou ni Hamerarete Jusei Suru Kyonyuu Okaasan The Animation,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,1219.0,0,2,0,0,1,0,0,0,0,0,0,0
Rozen Maiden,2481.25,1,1,0,1,0,0,1,0,0,0,0,0
Akuma to Himegimi,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Super Speed,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Phantom: Requiem for the Phantom,2492.25,2,0,0,1,0,0,0,1,0,0,0,0
Futari Ecchi,5880.0,1,1,0,0,0,0,0,0,0,0,0,0
Initial D Battle Stage,560.75,0,1,0,0,0,0,0,0,0,0,0,3
Cheburashka Arere?,1884.0,0,0,1,0,0,0,0,0,0,0,0,0
Devil May Cry,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Ihatov Gensou: Kenji no Haru,2179.0,0,0,0,0,0,0,0,1,0,0,0,0
Hyakka Ryouran: Samurai Girls,4146.0,1,1,1,0,0,0,0,0,0,0,0,0
Hanayamata,2112.0,1,0,0,0,0,0,0,0,0,0,0,0
Harmony,3204.0,1,0,0,0,0,0,0,0,0,0,0,0
Jungle wa Itsumo Hare nochi Guu Deluxe,829.5,0,1,0,0,1,0,0,0,0,0,0,0
Mai-HiME: Kuro no Mai/Saigo no Bansan,1500.0,0,0,0,0,0,0,0,0,0,0,1,0
Injuu Daikessen,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Juusen Battle Monsuno,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Slow Start: Web Yokoku Movie,3099.0,0,0,0,0,0,0,1,0,0,0,0,0
Tibet Inu Monogatari,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Charady no Joke na Mainichi,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Kikou Senki Dragonar,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Hetalia: The World Twinkle Specials,1403.0,0,0,0,0,0,0,1,0,0,0,0,0
Touhou Niji Sousaku Doujin Anime: Musou Kakyou Special,0.0,0,0,0,0,0,0,0,0,0,0,1,0
Gin no Saji 2nd Season,358.0,1,0,0,0,1,0,0,0,0,0,0,0
Kokoro Toshokan,2688.0,1,1,0,0,0,0,0,0,0,0,0,0
